id,name,state,county,country,level,population,latitude,longitude,wiki
45578,Waverly,MI,Eaton County,,city-us,23812,42.739,-84.621,2443
45570,Waverly,IA,Bremer County,,city-us,10398,42.726,-92.475,11994
45583,Waverly,NE,Lancaster County,,city-us,4385,40.917,-96.528,3857
45580,Waverly,TN,Humphreys County,,city-us,4296,36.084,-87.795,5406
45595,Waverly,NY,Tioga County,,city-us,4288,42.010,-76.527,18725
45591,Waverly,OH,Pike County,,city-us,4146,39.127,-82.985,12864
45597,Waverly,MI,Van Buren County,,city-us,2493,42.288,-85.936,226
45599,Waverly,MN,Wright County,,city-us,2006,45.067,-93.966,8555
45594,Waverly,VA,Sussex County,,city-us,1875,37.036,-77.095,5434
45588,Waverly,IL,Morgan County,,city-us,1149,39.592,-89.953,1401
45579,Waverly,NY,Franklin County,,city-us,923,44.526,-74.545,2745
45582,Waverly,MO,Lafayette County,,city-us,778,39.209,-93.518,3987
45598,Waverly,WV,Wood County,,city-us,723,39.338,-81.380,1745
45581,Waverly,PA,Lackawanna County,,city-us,604,41.526,-75.705,5942
45577,Waverly,KS,Coffey County,,city-us,574,38.394,-95.603,3652
45574,Waverly,MI,Cheboygan County,,city-us,372,45.433,-84.339,226
45596,Waverly,KY,Union County,,city-us,289,37.710,-87.813,1863
45571,Waverly,GA,Camden County,,city-us,281,31.094,-81.726,531
45587,Waverly,MN,Martin County,,city-us,196,43.811,-94.563,1846
45592,Waverly,FL,Polk County,,city-us,158,27.979,-81.614,1939
45573,Waverly,AL,Chambers County,,city-us,152,32.730,-85.571,4413
45593,Waverly,WA,Spokane County,,city-us,121,47.343,-117.228,4254
45586,Waverly,SD,Marshall County,,city-us,71,45.703,-97.635,528
45576,Waverly,SD,Codington County,,city-us,52,44.999,-96.972,528
45572,Waverly,VA,Caroline County,,city-us,0,38.164,-77.177,91
45575,Waverly,MS,Clay County,,city-us,0,33.568,-88.504,447
45584,Waverly,CO,Larimer County,,city-us,0,40.736,-105.077,3473
45585,Waverly,LA,Madison Parish,,city-us,0,32.446,-91.411,93
45589,Waverly,IN,Morgan County,,city-us,0,39.557,-86.271,1000
45590,Waverly,WI,Pierce County,,city-us,0,44.729,-92.257,233
