phoneme,name,county,latitude,longitude
0435,Billings,Yellowstone County,45.783,-108.501
2029,Great Falls,Cascade County,47.500,-111.301
0702,Butte,Silver Bow County,45.896,-112.660
2229,Helena,Lewis and Clark County,46.593,-112.036
0345,Belgrade,Gallatin County,45.776,-111.177
0119,Anaconda,Deer Lodge County,46.095,-113.142
3226,Miles City,Custer County,46.408,-105.841
2862,Livingston,Park County,45.662,-110.561
1636,Evergreen,Flathead County,48.226,-114.276
2753,Laurel,Yellowstone County,45.669,-108.772
2871,Lockwood,Yellowstone County,45.819,-108.415
4565,Sidney,Richland County,47.717,-104.156
2806,Lewistown,Fergus County,47.062,-109.428
1791,Four Corners,Gallatin County,45.630,-111.186
1079,Columbia Falls,Flathead County,48.372,-114.182
2124,Hamilton,Ravalli County,46.247,-114.160
0433,Bigfork,Flathead County,48.063,-114.073
1345,Dillon,Beaverhead County,45.216,-112.638
2144,Hardin,Big Horn County,45.732,-107.612
1931,Glasgow,Valley County,48.197,-106.637
4538,Shelby,Toole County,48.505,-111.857
1290,Deer Lodge,Powell County,46.396,-112.730
2810,Libby,Lincoln County,48.388,-115.556
2708,Lakeside,Flathead County,48.019,-114.225
1097,Conrad,Pondera County,48.170,-111.946
3016,Manhattan,Gallatin County,45.857,-111.332
4765,Stevensville,Ravalli County,46.510,-114.093
4947,Three Forks,Gallatin County,45.892,-111.552
4995,Townsend,Broadwater County,46.319,-111.521
1081,Columbus,Stillwater County,45.637,-109.252
3007,Malta,Phillips County,48.360,-107.874
0246,Baker,Fallon County,46.367,-104.285
4332,Roundup,Musselshell County,46.445,-108.542
1825,Frenchtown,Missoula County,47.015,-114.230
4835,Sun Prairie,Cascade County,47.537,-111.481
1133,Corvallis,Ravalli County,46.314,-114.113
1768,Forsyth,Rosebud County,46.266,-106.678
1629,Eureka,Lincoln County,48.880,-115.053
0534,Boulder,Jefferson County,46.237,-112.121
0947,Chinook,Blaine County,48.590,-109.231
4622,Somers,Flathead County,48.080,-114.222
3944,Plains,Sanders County,47.460,-114.883
2204,Hays,Blaine County,47.989,-108.694
3056,Marion,Flathead County,48.106,-114.663
2826,Lincoln,Lewis and Clark County,46.955,-112.682
5388,Wye,Missoula County,46.953,-114.121
3786,Park City,Stillwater County,45.633,-108.918
5366,White Sulphur Springs,Meagher County,46.548,-110.902
5369,Whitehall,Jefferson County,45.871,-112.097
0959,Churchill,Gallatin County,45.751,-111.304
0632,Browning,Glacier County,48.557,-113.013
1737,Florence,Ravalli County,46.632,-114.079
1594,Ennis,Madison County,45.349,-111.730
4849,Superior,Mineral County,47.192,-114.892
1661,Fairview,Richland County,47.856,-104.045
3874,Philipsburg,Granite County,46.332,-113.294
0932,Chester,Liberty County,48.511,-110.967
5118,Vaughn,Cascade County,47.561,-111.546
5019,Troy,Lincoln County,48.463,-115.890
1869,Gardiner,Park County,45.032,-110.706
4544,Shepherd,Yellowstone County,45.944,-108.342
5003,Trego,Lincoln County,48.705,-114.869
1012,Clinton,Missoula County,46.769,-113.713
4043,Pray,Park County,45.380,-110.682
5058,Ulm,Cascade County,47.431,-111.507
3995,Poplar,Roosevelt County,48.113,-105.198
5138,Victor,Ravalli County,46.417,-114.150
2150,Harlem,Blaine County,48.533,-108.784
0187,Ashland,Rosebud County,45.594,-106.271
1651,Fairfield,Teton County,47.615,-111.980
1212,Culbertson,Roosevelt County,48.144,-104.517
4547,Sheridan,Madison County,45.455,-112.197
3405,Muddy,Big Horn County,45.622,-106.760
5345,Wheatland,Broadwater County,45.962,-111.577
0590,Bridger,Carbon County,45.296,-108.914
5196,Walkerville,Silver Bow County,46.034,-112.536
5357,White Haven,Lincoln County,48.345,-115.517
0813,Cascade,Cascade County,47.271,-111.701
2511,Joliet,Carbon County,45.485,-108.970
0429,Big Sandy,Chouteau County,48.179,-110.112
0964,Circle,McCone County,47.417,-105.592
2362,Hot Springs,Sanders County,47.609,-114.669
4921,Terry,Prairie County,46.793,-105.312
2392,Huntley,Yellowstone County,45.899,-108.302
5501,Worden,Yellowstone County,45.960,-108.161
0293,Batavia,Flathead County,48.182,-114.413
0779,Carlton,Missoula County,46.676,-114.079
0047,Alberton,Mineral County,47.002,-114.473
5092,Valier,Pondera County,48.308,-112.250
1809,Frazer,Valley County,48.059,-106.042
2483,Jefferson City,Jefferson County,46.388,-112.028
4735,Stanford,Judith Basin County,47.154,-110.218
0328,Beaver Creek,Hill County,48.554,-109.792
4240,Riverbend,Mineral County,47.152,-114.833
4712,St. Marie,Valley County,48.402,-106.533
0289,Basin,Jefferson County,46.271,-112.264
0611,Brockton,Roosevelt County,48.151,-104.917
2520,Jordan,Garfield County,47.321,-106.910
5045,Twin Bridges,Madison County,45.544,-112.331
1111,Coram,Flathead County,48.418,-114.046
4344,Rudyard,Hill County,48.560,-110.554
1672,Fallon,Prairie County,46.836,-105.119
4581,Simms,Cascade County,47.492,-111.928
1341,Dixon,Sanders County,47.317,-114.314
